Ticker,Date,Open,High,Low,Close,Volume 
AMS,1985/03/27,1750.00,1750.00,1750.00,1750.00,10500
AMS,1985/03/28,1780.00,1780.00,1750.00,1780.00,22670
AMS,1985/03/29,1825.00,1825.00,1810.00,1825.00,74832
AMS,1985/04/01,1825.00,1825.00,1825.00,1825.00,3300
AMS,1985/04/02,1790.00,1790.00,1790.00,1790.00,2450
AMS,1985/04/03,1805.00,1805.00,1800.00,1805.00,18500
AMS,1985/04/04,1800.00,1800.00,1800.00,1800.00,100
AMS,1985/04/09,1790.00,1790.00,1790.00,1790.00,1100
AMS,1985/04/10,1760.00,1775.00,1760.00,1760.00,31218
AMS,1985/04/11,1775.00,1775.00,1775.00,1775.00,28820
AMS,1985/04/12,1775.00,1775.00,1775.00,1775.00,800
AMS,1985/04/15,1775.00,1775.00,1775.00,1775.00,6908
AMS,1985/04/16,1775.00,1775.00,1775.00,1775.00,3600
AMS,1985/04/17,1750.00,1750.00,1750.00,1750.00,1500
AMS,1985/04/18,1765.00,1765.00,1740.00,1765.00,11154
AMS,1985/04/19,1750.00,1750.00,1750.00,1750.00,3700
AMS,1985/04/22,1750.00,1750.00,1750.00,1750.00,6500
AMS,1985/04/23,1725.00,1725.00,1725.00,1725.00,1650
AMS,1985/04/24,1700.00,1700.00,1700.00,1700.00,5767
AMS,1985/04/25,1705.00,1705.00,1705.00,1705.00,1038
AMS,1985/04/26,1765.00,1765.00,1725.00,1765.00,12860
AMS,1985/04/29,1700.00,1750.00,1700.00,1700.00,4527
AMS,1985/04/30,1710.00,1710.00,1710.00,1710.00,3600
AMS,1985/05/01,1700.00,1700.00,1700.00,1700.00,11031
AMS,1985/05/02,1685.00,1685.00,1685.00,1685.00,529
AMS,1985/05/03,1625.00,1690.00,1625.00,1625.00,7085
AMS,1985/05/06,1625.00,1625.00,1625.00,1625.00,200
AMS,1985/05/07,1640.00,1640.00,1625.00,1640.00,6014
AMS,1985/05/08,1640.00,1645.00,1635.00,1640.00,2940
AMS,1985/05/09,1660.00,1665.00,1660.00,1660.00,83400
AMS,1985/05/10,1665.00,1665.00,1665.00,1665.00,9900
AMS,1985/05/13,1710.00,1710.00,1700.00,1710.00,8400
AMS,1985/05/14,1725.00,1725.00,1725.00,1725.00,21800
AMS,1985/05/15,1725.00,1725.00,1725.00,1725.00,1966
AMS,1985/05/17,1710.00,1710.00,1700.00,1710.00,1082
AMS,1985/05/20,1710.00,1710.00,1710.00,1710.00,6900
AMS,1985/05/21,1680.00,1690.00,1680.00,1680.00,23022
AMS,1985/05/22,1710.00,1710.00,1680.00,1710.00,11827
AMS,1985/05/23,1680.00,1710.00,1680.00,1680.00,8178
AMS,1985/05/24,1675.00,1680.00,1675.00,1675.00,4600
AMS,1985/05/27,1675.00,1675.00,1675.00,1675.00,500
AMS,1985/05/28,1700.00,1700.00,1700.00,1700.00,5321
AMS,1985/05/29,1700.00,1700.00,1700.00,1700.00,200
AMS,1985/05/30,1670.00,1685.00,1670.00,1670.00,32934
AMS,1985/06/03,1660.00,1660.00,1650.00,1660.00,2000
AMS,1985/06/04,1650.00,1670.00,1645.00,1650.00,15075
AMS,1985/06/05,1615.00,1625.00,1615.00,1615.00,6775
AMS,1985/06/06,1600.00,1600.00,1600.00,1600.00,1100
AMS,1985/06/07,1560.00,1575.00,1560.00,1560.00,6055
AMS,1985/06/10,1525.00,1525.00,1525.00,1525.00,3097
AMS,1985/06/11,1515.00,1540.00,1515.00,1515.00,36891
AMS,1985/06/12,1510.00,1510.00,1510.00,1510.00,30510
AMS,1985/06/13,1530.00,1530.00,1510.00,1530.00,23400
AMS,1985/06/14,1550.00,1550.00,1520.00,1550.00,61400
AMS,1985/06/17,1550.00,1550.00,1535.00,1550.00,18800
AMS,1985/06/18,1565.00,1565.00,1540.00,1565.00,49805
AMS,1985/06/19,1575.00,1575.00,1565.00,1575.00,38543
AMS,1985/06/20,1560.00,1570.00,1560.00,1560.00,30114
AMS,1985/06/21,1570.00,1570.00,1560.00,1570.00,4838
AMS,1985/06/24,1600.00,1600.00,1590.00,1600.00,14820
AMS,1985/06/25,1600.00,1605.00,1595.00,1600.00,26447
AMS,1985/06/26,1585.00,1600.00,1580.00,1585.00,29545
AMS,1985/06/27,1590.00,1590.00,1585.00,1590.00,10165
AMS,1985/06/28,1580.00,1590.00,1580.00,1580.00,11400
AMS,1985/07/01,1580.00,1580.00,1580.00,1580.00,2945
AMS,1985/07/02,1565.00,1570.00,1565.00,1565.00,13506
AMS,1985/07/03,1590.00,1590.00,1585.00,1590.00,12100
AMS,1985/07/04,1590.00,1590.00,1590.00,1590.00,7700
AMS,1985/07/05,1600.00,1600.00,1600.00,1600.00,11204
AMS,1985/07/08,1610.00,1615.00,1600.00,1610.00,22300
AMS,1985/07/09,1600.00,1615.00,1590.00,1600.00,29325
AMS,1985/07/10,1580.00,1580.00,1560.00,1580.00,56877
AMS,1985/07/11,1580.00,1580.00,1565.00,1580.00,78000
AMS,1985/07/12,1590.00,1590.00,1570.00,1590.00,95553
AMS,1985/07/15,1620.00,1625.00,1610.00,1620.00,54438
AMS,1985/07/16,1680.00,1680.00,1630.00,1680.00,47558
AMS,1985/07/17,1780.00,1800.00,1700.00,1780.00,186000
AMS,1985/07/18,1760.00,1780.00,1760.00,1760.00,15758
AMS,1985/07/19,1750.00,1750.00,1750.00,1750.00,18410
AMS,1985/07/22,1650.00,1690.00,1625.00,1650.00,25456
AMS,1985/07/23,1680.00,1700.00,1675.00,1680.00,60913
AMS,1985/07/24,1630.00,1660.00,1625.00,1630.00,38600
AMS,1985/07/25,1585.00,1600.00,1550.00,1585.00,117400
AMS,1985/07/26,1600.00,1625.00,1600.00,1600.00,75001
AMS,1985/07/29,1625.00,1625.00,1610.00,1625.00,41800
AMS,1985/07/30,1565.00,1575.00,1565.00,1565.00,23500
AMS,1985/07/31,1660.00,1660.00,1600.00,1660.00,34955
AMS,1985/08/01,1530.00,1575.00,1530.00,1530.00,102221
AMS,1985/08/02,1520.00,1530.00,1520.00,1520.00,43418
AMS,1985/08/05,1475.00,1520.00,1475.00,1475.00,20762
AMS,1985/08/06,1500.00,1500.00,1440.00,1500.00,35275
AMS,1985/08/07,1540.00,1540.00,1500.00,1540.00,33250
AMS,1985/08/08,1540.00,1575.00,1540.00,1540.00,37700
AMS,1985/08/09,1600.00,1605.00,1540.00,1600.00,12388
AMS,1985/08/12,1625.00,1630.00,1590.00,1625.00,31600
AMS,1985/08/13,1630.00,1650.00,1615.00,1630.00,57867
AMS,1985/08/14,1625.00,1650.00,1625.00,1625.00,49205
AMS,1985/08/15,1650.00,1650.00,1625.00,1650.00,7222
AMS,1985/08/16,1700.00,1725.00,1640.00,1700.00,61223
AMS,1985/08/19,1785.00,1785.00,1725.00,1785.00,58200
AMS,1985/08/20,1775.00,1800.00,1775.00,1775.00,68345
AMS,1985/08/21,1790.00,1800.00,1780.00,1790.00,50900
AMS,1985/08/22,1775.00,1810.00,1760.00,1775.00,16819
AMS,1985/08/23,1740.00,1760.00,1735.00,1740.00,6653
AMS,1985/08/26,1800.00,1800.00,1760.00,1800.00,11349
AMS,1985/08/27,1840.00,1850.00,1800.00,1840.00,45677
AMS,1985/09/02,1750.00,1760.00,1750.00,1750.00,4078
AMS,1985/09/03,1740.00,1750.00,1740.00,1740.00,22607
AMS,1985/09/04,1750.00,1765.00,1750.00,1750.00,12892
AMS,1985/09/05,1740.00,1750.00,1740.00,1740.00,15000
AMS,1985/09/06,1745.00,1750.00,1740.00,1745.00,23200
AMS,1985/09/09,1750.00,1750.00,1735.00,1750.00,6906
AMS,1985/09/10,1750.00,1750.00,1745.00,1750.00,5620
AMS,1985/09/11,1750.00,1750.00,1740.00,1750.00,9100
AMS,1985/09/12,1760.00,1760.00,1750.00,1760.00,12830
AMS,1985/09/13,1740.00,1760.00,1740.00,1740.00,6900
AMS,1985/09/16,1750.00,1750.00,1750.00,1750.00,5725
AMS,1985/09/17,1760.00,1760.00,1750.00,1760.00,3000
AMS,1985/09/18,1780.00,1780.00,1750.00,1780.00,12312
AMS,1985/09/19,1825.00,1825.00,1790.00,1825.00,39739
AMS,1985/09/20,1850.00,1850.00,1825.00,1850.00,43350
AMS,1985/09/23,1950.00,1975.00,1860.00,1950.00,53047
AMS,1985/09/24,1990.00,2000.00,1975.00,1990.00,125728
AMS,1985/09/25,1990.00,2000.00,1990.00,1990.00,13161
AMS,1985/09/26,2000.00,2015.00,1990.00,2000.00,20372
AMS,1985/09/27,1975.00,2000.00,1975.00,1975.00,6500
AMS,1985/09/30,2000.00,2000.00,1980.00,2000.00,1239
AMS,1985/10/01,2010.00,2025.00,2000.00,2010.00,33485
AMS,1985/10/02,1990.00,2020.00,1990.00,1990.00,20837
AMS,1985/10/03,1965.00,1975.00,1965.00,1965.00,10577
AMS,1985/10/04,2000.00,2000.00,2000.00,2000.00,19293
AMS,1985/10/07,2075.00,2075.00,2025.00,2075.00,62765
AMS,1985/10/08,2125.00,2125.00,2075.00,2125.00,23478
AMS,1985/10/09,2200.00,2200.00,2125.00,2200.00,78893
AMS,1985/10/11,2250.00,2250.00,2200.00,2250.00,139300
AMS,1985/10/14,2300.00,2300.00,2250.00,2300.00,14750
AMS,1985/10/15,2350.00,2375.00,2300.00,2350.00,131675
AMS,1985/10/16,2285.00,2365.00,2285.00,2285.00,26115
AMS,1985/10/17,2260.00,2360.00,2260.00,2260.00,54030
AMS,1985/10/18,2400.00,2400.00,2250.00,2400.00,39289
AMS,1985/10/21,2435.00,2450.00,2425.00,2435.00,17033
AMS,1985/10/22,2425.00,2435.00,2400.00,2425.00,20400
AMS,1985/10/23,2425.00,2460.00,2425.00,2425.00,35700
AMS,1985/10/24,2375.00,2400.00,2350.00,2375.00,14825
