Ticker,Date,Open,High,Low,Close,Volume 
SOL,2014/11/14,52900.00,52998.00,51230.00,52701.00,2181451
SOL,2014/11/17,52490.00,52699.00,51395.00,51840.00,1422485
SOL,2014/11/18,51990.00,52050.00,50500.00,50840.00,1659644
SOL,2014/11/19,50800.00,51599.00,50611.00,51151.00,1678730
SOL,2014/11/20,51152.00,51456.00,50402.00,50620.00,1205999
SOL,2014/11/21,51004.00,53588.00,50873.00,53568.00,2038153
SOL,2014/11/24,53400.00,53773.00,52384.00,52451.00,1890665
SOL,2014/11/25,52515.00,52747.00,51722.00,51940.00,1655458
SOL,2014/11/26,51895.00,51899.00,50701.00,50980.00,1874649
SOL,2014/11/27,50711.00,51387.00,50005.00,50300.00,2977478
SOL,2014/11/28,48495.00,48499.00,46105.00,46195.00,5089708
SOL,2014/12/01,42500.00,43489.00,40501.00,43050.00,6677849
SOL,2014/12/02,43923.00,45000.00,43811.00,44986.00,3234418
SOL,2014/12/03,45500.00,46140.00,43499.00,43551.00,3295880
SOL,2014/12/04,44100.00,44500.00,42996.00,43350.00,3091099
SOL,2014/12/05,43500.00,43800.00,42699.00,42750.00,3454574
SOL,2014/12/08,42880.00,42880.00,41377.00,41740.00,3224243
SOL,2014/12/09,40700.00,40860.00,39710.00,40300.00,3677839
SOL,2014/12/10,40405.00,40999.00,40196.00,40196.00,2208136
SOL,2014/12/11,39795.00,39995.00,39000.00,39446.00,2850714
SOL,2014/12/12,39020.00,39978.00,38784.00,39278.00,2464977
SOL,2014/12/15,38650.00,40406.00,38650.00,39529.00,1933996
SOL,2014/12/17,39000.00,40663.00,38901.00,40343.00,2679695
SOL,2014/12/18,41550.00,44623.00,41550.00,44600.00,7583651
SOL,2014/12/19,44700.00,45212.00,42531.00,45212.00,3112299
SOL,2014/12/22,45500.00,45900.00,43167.00,43500.00,1041498
SOL,2014/12/23,43500.00,44093.00,42209.00,44028.00,726296
SOL,2014/12/24,44314.00,44398.00,43003.00,43117.00,466058
SOL,2014/12/29,44002.00,45038.00,43980.00,44799.00,825184
SOL,2014/12/30,44240.00,44240.00,43251.00,43600.00,890249
SOL,2014/12/31,43500.00,43622.00,43101.00,43101.00,409584
SOL,2015/01/02,43532.00,43694.00,42802.00,43100.00,1010635
SOL,2015/01/05,43100.00,43448.00,40502.00,40502.00,2300587
SOL,2015/01/06,40500.00,40700.00,39310.00,40050.00,3626453
SOL,2015/01/07,40062.00,40618.00,39655.00,40342.00,2509704
SOL,2015/01/08,40799.00,40989.00,38706.00,38812.00,4428860
SOL,2015/01/09,39180.00,39785.00,39000.00,39000.00,2673665
SOL,2015/01/12,38860.00,39491.00,38095.00,38180.00,3061661
SOL,2015/01/13,37949.00,38450.00,37274.00,38400.00,3215472
SOL,2015/01/14,37775.00,37943.00,36075.00,36510.00,3972207
SOL,2015/01/15,37180.00,37500.00,36000.00,36901.00,4422608
SOL,2015/01/16,36702.00,38416.00,36302.00,38376.00,4205359
SOL,2015/01/19,38644.00,39733.00,38644.00,39600.00,2330928
